username,audio,score
niggesh,18214__roil-noise__circuitbent-casio-ctk-550-loop5.wav,1
niggesh,18224__roil-noise__circuitbent-yamaha-psr-12-loop7.wav,2
niggesh,191049__stomachache__96kelectrickalimba-o2harmonic.wav,3
niggesh,191050__stomachache__96kelectrickalimba-n2harmonic.wav,4
niggesh,191052__stomachache__96kelectrickalimba-o5clean.wav,4
niggesh,191054__stomachache__96kelectrickalimba-o4clean.wav,4
niggesh,191055__stomachache__96kelectrickalimba-l3.wav,4
niggesh,191057__stomachache__96kelectrickalimba-l1.wav,4
niggesh,191059__stomachache__96kelectrickalimba-m3harmonic.wav,3
sarah,18214__roil-noise__circuitbent-casio-ctk-550-loop5.wav,1
sarah,18224__roil-noise__circuitbent-yamaha-psr-12-loop7.wav,2
sarah,191049__stomachache__96kelectrickalimba-o2harmonic.wav,3
sarah,191050__stomachache__96kelectrickalimba-n2harmonic.wav,4
sarah,191052__stomachache__96kelectrickalimba-o5clean.wav,4
sarah,191054__stomachache__96kelectrickalimba-o4clean.wav,4
sarah,191055__stomachache__96kelectrickalimba-l3.wav,4
sarah,191057__stomachache__96kelectrickalimba-l1.wav,4
sarah,191059__stomachache__96kelectrickalimba-m3harmonic.wav,3
sarah,download.wav,2
sarah,file_example_WAV_1MG.wav,3
sarah,voice.wav,3
bow bow,18214__roil-noise__circuitbent-casio-ctk-550-loop5.wav,3
bow bow,18224__roil-noise__circuitbent-yamaha-psr-12-loop7.wav,4
bow bow,191049__stomachache__96kelectrickalimba-o2harmonic.wav,3
sdfsdfdsf,voice.wav,2
sdfsdfdsf,file_example_WAV_1MG.wav,4
sdfsdfdsf,download.wav,3
sdfsdfdsf,418420__realdavidfloat__bass-f-e-dd-120bpm-07.wav,4
sdfsdfdsf,667969__zuluonedrop2__di1_140_kungfudrop.wav,2
